Fecha;Demanda (MW)
2007-02-08 18;37508.5
2007-02-08 19;39588.83
2007-02-08 20;39218.16
2007-02-08 21;38225.83
2007-02-08 22;35527.66
2007-02-08 23;34680.83
2007-02-09 00;31822.83
2007-02-09 01;29059.83
2007-02-09 02;27322.5
2007-02-09 03;26089.33
2007-02-09 04;25596.0
2007-02-09 05;25489.66
2007-02-09 06;27221.0
2007-02-09 07;30948.83
2007-02-09 08;34554.16
2007-02-09 09;36019.0
2007-02-09 10;37025.0
2007-02-09 11;37048.16
2007-02-09 12;36633.83
2007-02-09 13;35671.83
2007-02-09 14;33675.33
2007-02-09 15;33298.5
2007-02-09 16;32990.16
2007-02-09 17;33348.83
2007-02-09 18;34686.5
2007-02-09 19;37205.66
2007-02-09 20;37139.33
2007-02-09 21;36142.5
2007-02-09 22;34130.83
2007-02-09 23;34100.5
2007-02-10 00;32064.66
2007-02-10 01;29514.0
2007-02-10 02;27231.5
2007-02-10 03;25554.33
2007-02-10 04;24493.16
2007-02-10 05;23874.16
2007-02-10 06;23600.5
2007-02-10 07;24219.0
2007-02-10 08;25571.33
2007-02-10 09;28018.16
2007-02-10 10;30745.5
2007-02-10 11;31204.16
2007-02-10 12;30992.33
2007-02-10 13;30328.66
2007-02-10 14;28903.16
2007-02-10 15;27917.66
2007-02-10 16;27391.0
2007-02-10 17;27551.16
2007-02-10 18;29022.5
2007-02-10 19;31983.66
2007-02-10 20;32604.33
2007-02-10 21;32435.33
2007-02-10 22;30954.66
2007-02-10 23;31353.0
2007-02-11 00;29436.33
2007-02-11 01;26852.83
2007-02-11 02;24752.16
2007-02-11 03;23346.0
2007-02-11 04;22248.0
2007-02-11 05;21598.0
2007-02-11 06;21606.66
2007-02-11 07;21116.5
2007-02-11 08;21095.16
2007-02-11 09;22800.83
